7 Faces of Dr. Lao,1964
7th Heaven,1927
8 Mile,2002
12 Years a Slave,2013
20 Feet from Stardom,2013
2001: A Space Odyssey,1968
20000 Leagues Under the Sea,1954
The Abyss,1989
The Accidental Tourist,1988
The Accountant,2001
The Accused,1988
Adaptation,2002
Adventures of Don Juan,1948
"The Adventures of Priscilla, Queen of the Desert",1994
The Adventures of Robin Hood,1938
Affliction,1997
The African Queen,1951
The Age of Innocence,1993
Air Force,1943
Airport,1970
Aladdin,1992
The Alamo,1960
The Alaskan Eskimo,1953
Albert Schweitzer,1957
Alexander's Ragtime Band,1938
Alice in Wonderland,2010
Alice Doesn't Live Here Anymore,1974
Alien,1979
Aliens,1986
All About Eve,1950
All About My Mother ,1999
All Quiet on the Western Front,1930
All That Jazz,1979
All That Money Can Buy ,1941
All the King's Men,1949
All the President's Men,1976
Almost Famous,2000
Ama Girls,1958
Amadeus,1984
Amarcord,1974
America America,1963
American Beauty,1999
American Dream,1990
An American in Paris,1951
An American Werewolf in London,1981
Amour,2012
Amphibious Fighters,1943
Anastasia,1956
Anchors Aweigh,1945
The Anderson Platoon ,1967
Angel and Big Joe,1975
Anna and the King of Siam,1946
Anna Karenina,2012
Anne Frank Remembered,1995
Anne of the Thousand Days,1969
Annie Get Your Gun,1950
Annie Hall,1977
Anthony Adverse,1936
Antonia's Line ,1995
The Apartment,1960
Apocalypse Now,1979
Apollo 13,1995
The Appointments of Dennis Jennings,1988
Argo,2012
"Arise, My Love",1940
Arthur,1981
Arthur Rubinstein – The Love of Life ,1969
The Artist,2011
As Good as It Gets,1997
The Assault ,1986
Atonement,2007
Avatar,2009
The Aviator,2004
The Awful Truth,1937
Babe,1995
Babel,2006
Babette's Feast ,1987
The Bachelor and the Bobby-Soxer,1947
Back to the Future,1985
The Bad and the Beautiful,1952
Bad Girl,1931
Balance,1989
The Barbarian Invasions,2003
The Barefoot Contessa,1954
Barry Lyndon,1975
Batman,1989
The Battle of Midway,1942
Battleground,1949
Bear Country,1953
A Beautiful Mind,2001
Beauty and the Beast,1991
Becket,1964
Bedknobs and Broomsticks,1971
Beetlejuice,1988
Beginners,2011
Being There,1979
Belle Époque ,1993
The Bells of St. Mary's,1945
Ben-Hur,1959
Benjy,1951
The Bespoke Overcoat,1956
Best Boy,1979
The Best Years of Our Lives,1946
Beyond the Line of Duty,1942
The Big Broadcast of 1938,1938
The Big Country,1958
The Big House,1930
Big Mama,2000
Bill and Coo,1948
Bird,1988
Birds Anonymous,1957
The Bishop's Wife,1947
Black and White in Color ,1976
Black Fox,1962
Black Hawk Down,2001
Black Narcissus,1947
Black Orpheus ,1959
The Black Stallion,1979
Black Swan,2010
The Black Swan,1942
The Blind Side,2009
Blithe Spirit,1946
Blood and Sand,1941
The Blood of Yingzhou District,2006
Blood on the Sun,1945
Blossoms in the Dust,1941
Blue Jasmine,2013
Blue Sky,1994
Bob's Birthday,1994
Body and Soul,1947
The Bolero,1973
Bonnie and Clyde,1967
Bored of Education,1936
Born Free,1966
Born into Brothels,2004
Born on the Fourth of July,1989
Born Yesterday,1950
Bound for Glory,1976
The Bourne Ultimatum,2007
Bowling for Columbine,2002
The Box,1967
A Boy and His Dog,1946
Boys and Girls,1983
Boys Don't Cry,1999
Boys Town,1938
Bram Stoker's Dracula,1992
Brave,2012
The Brave One,1956
Braveheart,1995
Breakfast at Tiffany's,1961
Breaking Away,1979
Breaking the Sound Barrier,1952
Breathing Lessons: The Life and Work of Mark O'Brien,1996
The Bridge of San Luis Rey,1929
The Bridge on the River Kwai,1957
Broadway Melody of 1936,1935
The Broadway Melody,1929
Brokeback Mountain,2005
Broken Lance,1954
Broken Rainbow,1985
The Buddy Holly Story,1978
Bugsy,1991
Bullets over Broadway,1994
Bullitt,1968
Bunny,1998
Burnt by the Sun ,1994
Busy Little Bears,1939
Butch Cassidy and the Sundance Kid,1969
BUtterfield 8,1960
Butterflies Are Free,1972
Cabaret,1972
Cactus Flower,1969
Calamity Jane,1953
California Suite,1978
Call Me Madam,1953
Camelot,1967
The Candidate,1972
Capote,2005
"Captain Carey, U.S.A.",1950
Captains Courageous,1937
Casals Conducts: 1964,1964
Cat Ballou,1965
Cavalcade,1933
Chagall,1963
The Champ,1931
Champion,1949
A Chance to Live,1949
Character ,1997
Charade,1984
The Charge of the Light Brigade,1936
Chariots of Fire,1981
Charly,1968
Chernobyl Heart,2003
Chicago,2002
The Chicken ,1965
Children of a Lesser God,1986
Chinatown,1974
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
The Chubbchubbs!,2002
Churchill's Island,1941
The Cider House Rules,1999
Cimarron,1931
The Circus,1928
Citizen Kane,1941
City of Wax,1934
City Slickers,1991
Cleopatra,1934
Cleopatra,1963
Climbing the Matterhorn,1947
Close Encounters of the Third Kind,1977
Close Harmony,1981
A Close Shave,1995
Closed Mondays,1974
Closely Watched Trains ,1967
Coal Miner's Daughter,1980
Cocoon,1985
Cold Mountain,2003
The Color of Money,1986
Come and Get It,1936
"Come Back, Little Sheba",1952
Coming Home,1978
Common Threads: Stories from the Quilt,1989
The Constant Gardener,2005
Cool Hand Luke,1967
Coquette,1929
The Counterfeiters ,2007
The Country Cousin,1936
The Country Girl,1954
The Cove,2009
Cover Girl,1944
The Cowboy and the Lady,1938
Crac,1981
Crash,2005
Crash Dive,1943
Crashing the Water Barrier,1956
Crazy Heart,2009
Cries and Whispers ,1973
The Critic,1963
Cromwell,1970
"Crouching Tiger, Hidden Dragon",2000
The Crunch Bird,1971
The Crying Game,1992
Curfew,2012
The Curious Case of Benjamin Button,2008
Cyrano de Bergerac,1950
Cyrano de Bergerac,1990
Dallas Buyers Club,2013
A Damsel in Distress,1937
Dances with Wolves,1990
Dangerous,1935
Dangerous Liaisons,1988
Dangerous Moves ,1984
The Danish Poet,2006
The Dark Angel,1935
The Dark Knight,2008
Darling,1965
The Dawn Patrol,1930
Day for Night ,1973
Day of the Painter,1960
Days of Heaven,1978
Days of Wine and Roses,1962
Dead Man Walking,1995
Dead Poets Society,1989
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991
Dear Diary,1996
Death Becomes Her,1992
Death on the Nile,1978
December 7th,1943
Declaration of Independence,1938
The Deer Hunter,1978
The Defiant Ones,1958
The Departed,2006
Departures,2008
Der Fuehrer's Face,1942
Dersu Uzala,1975
The Descendants,2011
Desert Victory,1943
Design for Death,1947
Designing Woman,1957
Destination Moon,1950
The Diary of Anne Frank,1959
Dick Tracy,1990
Dirty Dancing,1987
The Dirty Dozen,1967
The Discreet Charm of the Bourgeoisie ,1972
Disraeli,1929
The Divine Lady,1929
The Divorcee,1930
Django Unchained,2012
Doctor Dolittle,1967
Doctor Zhivago,1965
Dodsworth,1936
Dog Day Afternoon,1975
Don't,1974
The Dot and the Line ,1965
A Double Life,1947
Down and Out in America,1986
The Dove,1927
Dr. Jekyll and Mr. Hyde,1932
Dr. Seuss' How the Grinch Stole Christmas ,2000
Dreamgirls,2006
Driving Miss Daisy,1989
The Duchess,2008
Dumbo,1941
E.T.: The Extra-Terrestrial,1982
Earthquake,1974
East of Eden,1955
Easter Parade,1948
Ed Wood,1994
Educating Peter,1992
Election Night ,1998
The Eleanor Roosevelt Story,1965
Elizabeth,1998
Elizabeth: The Golden Age,2007
Elmer Gantry,1960
Emma,1996
The Empire Strikes Back,1980
The Enemy Below,1957
The English Patient,1996
Erin Brockovich,2000
Ersatz ,1961
Eternal Sunshine of the Spotless Mind,2004
Every Child,1979
Evita,1996
Exodus,1960
The Exorcist,1973
Facing Your Danger,1946
The Facts of Life,1960
Fame,1980
Fanny & Alexander ,1983
Fantasia,1940
The Fantastic Flying Books of Mr. Morris Lessmore,2011
Fantastic Voyage,1966
A Farewell to Arms,1932
Fargo,1996
The Farmer's Daughter,1947
Father Goose,1964
Fellini's Casanova ,1976
Ferdinand the Bull,1938
Fiddler on the Roof,1971
The Fighter,2010
The Fighting Lady,1944
Finding Nemo,2003
Finding Neverland,2004
First Steps,1947
A Fish Called Wanda,1988
The Fisher King,1991
Flamenco at 5:15,1983
Flashdance,1983
The Flight of the Gossamer Condor,1978
Flowers and Trees,1932
The Fly ,1980
The Fly,1986
The Fog of War ,2003
Forbidden Games,1952
A Force in Readiness,1961
For Scent-imental Reasons,1949
For the Birds,2001
For Whom the Bell Tolls,1943
Forrest Gump,1994
